epoch,strategy,avg_total_delay,sum_total_delay,avg_compute_delay,avg_transmission_delay,avg_requests_per_slot,migration_changes,migration_cost,total_cost,replica_target_total,replica_actual_total,change_count,total_replicas,min_stage_replicas,max_stage_replicas,avg_node_replicas,max_node_replicas,avg_storage_util,max_storage_util,avg_memory_util,max_memory_util,demand_prob_0,observed_share_0,demand_prob_1,observed_share_1,demand_prob_2,observed_share_2,demand_prob_3,observed_share_3,demand_prob_4,observed_share_4,kept_previous,estimated_prev_delay,estimated_candidate_delay
0.0,static_heuristic,4.537744580209255,90.7548916041851,3.174002428352833,1.3637421518564223,9.6,26.0,2.6,93.3548916041851,26.0,26.0,26.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.2459927797317505,0.2187495082616806,0.2958388924598694,0.3124970495700836,0.20444287359714508,0.2187495082616806,0.12590721249580383,0.10416916012763977,0.1278182715177536,0.14583474397659302,,,
1.0,static_heuristic,5.139569562673569,102.79139125347137,3.55022679567337,1.5893427670001983,10.35,0.0,0.0,102.79139125347137,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.3069121241569519,0.30917608737945557,0.28158366680145264,0.25603729486465454,0.14967718720436096,0.1497596651315689,0.09308896958827972,0.10628245025873184,0.16873814165592194,0.17874446511268616,,,
2.0,static_heuristic,3.5517334386706354,71.0346687734127,2.2700798392295836,1.2816535994410514,8.8,0.0,0.0,71.0346687734127,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.32994771003723145,0.3409050703048706,0.23115649819374084,0.22159028053283691,0.10386960208415985,0.08523053675889969,0.10386961698532104,0.07386721670627594,0.23115652799606323,0.27840685844421387,,,
3.0,static_heuristic,4.790450939536095,95.8090187907219,3.4256548643112184,1.3647960752248764,10.0,0.0,0.0,95.8090187907219,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.3069120943546295,0.24499887228012085,0.16873814165592194,0.18000049889087677,0.09308896958827972,0.1150021180510521,0.14967718720436096,0.17000074684619904,0.28158366680145264,0.28999772667884827,,,
4.0,static_heuristic,5.715094071626663,114.30188143253326,4.126620116829872,1.588473954796791,10.3,0.0,0.0,114.30188143253326,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.2459927797317505,0.2572801411151886,0.1278182715177536,0.11650687456130981,0.12590721249580383,0.1310696303844452,0.20444287359714508,0.21359188854694366,0.295838862657547,0.28155142068862915,,,
5.0,static_heuristic,6.067567284405231,121.35134568810463,4.418543620407581,1.64902366399765,10.35,0.0,0.0,121.35134568810463,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.17711980640888214,0.18357527256011963,0.13792216777801514,0.1352672576904297,0.18389584124088287,0.1545904576778412,0.23819679021835327,0.25120648741722107,0.2628653943538666,0.27536049485206604,,,
6.0,static_heuristic,4.933582270145417,98.67164540290833,3.5113064467906954,1.422275823354721,9.3,0.0,0.0,98.67164540290833,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.1461232602596283,0.16129136085510254,0.19629745185375214,0.23118194937705994,0.23064091801643372,0.17741996049880981,0.23064091801643372,0.2473105490207672,0.19629745185375214,0.1827961504459381,,,
7.0,static_heuristic,5.7464802205562595,114.92960441112518,4.192806839942932,1.553673380613327,9.95,0.0,0.0,114.92960441112518,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.17711982131004333,0.17587999999523163,0.2628653943538666,0.3015049695968628,0.23819680511951447,0.2010049968957901,0.18389588594436646,0.2110549956560135,0.13792216777801514,0.1105550080537796,,,
8.0,static_heuristic,5.848351599276066,116.96703198552132,4.082925024628639,1.7654265746474267,10.8,0.0,0.0,116.96703198552132,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.24599280953407288,0.27777597308158875,0.2958388328552246,0.3101826310157776,0.20444287359714508,0.19444456696510315,0.12590719759464264,0.1018541157245636,0.127818301320076,0.11574268341064453,,,
9.0,static_heuristic,4.707846456766129,94.15692913532257,3.157482570409775,1.5503638863563538,10.4,0.0,0.0,94.15692913532257,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.30691206455230713,0.3173048496246338,0.28158363699913025,0.30768969655036926,0.14967717230319977,0.14903968572616577,0.09308893978595734,0.0673108845949173,0.16873812675476074,0.1586548388004303,,,
10.0,static_heuristic,5.443321013450623,108.86642026901245,3.7524940341711046,1.690826979279518,11.05,0.0,0.0,108.86642026901245,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.32994773983955383,0.3122146427631378,0.23115652799606323,0.19457025825977325,0.10386960208415985,0.13574805855751038,0.10386961698532104,0.10407456010580063,0.23115649819374084,0.25339245796203613,,,
11.0,static_heuristic,4.702352864667773,94.04705729335546,3.1096837639808657,1.5926691006869078,9.8,0.0,0.0,94.04705729335546,26.0,26.0,0.0,26.0,2.0,2.0,2.5999999046325684,3.0,0.19400644302368164,0.2554348111152649,0.13761815428733826,0.18653035163879395,0.3069120943546295,0.3265273869037628,0.16873811185359955,0.12755286693572998,0.09308895468711853,0.13775669038295746,0.1496771275997162,0.13265477120876312,0.28158366680145264,0.27550825476646423,,,
