episode,fast_slot,policy,requests,stages,total_delay,compute_delay,transmission_delay,kkt_virtual_cost,infeasible,service_0,service_1,service_2,service_3,service_4
0,0,greedy_delta,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,0,lookahead_delta,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,0,wms_planner,9.0,21.0,3.513618230819702,2.1911120414733887,1.3225061893463135,3.513618230819702,0.0,2.0,1.0,3.0,1.0,2.0
0,1,greedy_delta,17.0,45.0,12.972411632537842,9.839926719665527,3.1324849128723145,12.972411632537842,0.0,4.0,5.0,4.0,3.0,1.0
0,1,lookahead_delta,17.0,45.0,12.972411632537842,9.839926719665527,3.1324849128723145,12.972411632537842,0.0,4.0,5.0,4.0,3.0,1.0
0,1,wms_planner,17.0,45.0,12.972411632537842,9.839926719665527,3.1324849128723145,12.972411632537842,0.0,4.0,5.0,4.0,3.0,1.0
0,2,greedy_delta,16.0,43.0,12.370667457580566,9.279521942138672,3.0911455154418945,12.370667457580566,0.0,2.0,5.0,6.0,3.0,0.0
0,2,lookahead_delta,16.0,43.0,12.370667457580566,9.279521942138672,3.0911455154418945,12.370667457580566,0.0,2.0,5.0,6.0,3.0,0.0
0,2,wms_planner,16.0,43.0,12.370667457580566,9.279521942138672,3.0911455154418945,12.370667457580566,0.0,2.0,5.0,6.0,3.0,0.0
0,3,greedy_delta,11.0,28.0,5.367949843406677,3.591982841491699,1.775967001914978,5.367949843406677,0.0,2.0,2.0,3.0,2.0,2.0
0,3,lookahead_delta,11.0,28.0,5.726654052734375,3.644190788269043,2.082463264465332,5.726654052734375,0.0,2.0,2.0,3.0,2.0,2.0
0,3,wms_planner,11.0,28.0,5.367949843406677,3.591982841491699,1.775967001914978,5.367949843406677,0.0,2.0,2.0,3.0,2.0,2.0
0,4,greedy_delta,8.0,19.0,3.2462220191955566,2.0668578147888184,1.1793642044067383,3.2462220191955566,0.0,2.0,3.0,1.0,0.0,2.0
0,4,lookahead_delta,8.0,19.0,2.734959125518799,1.8232529163360596,0.9117062091827393,2.734959125518799,0.0,2.0,3.0,1.0,0.0,2.0
0,4,wms_planner,8.0,19.0,3.2462220191955566,2.0668578147888184,1.1793642044067383,3.2462220191955566,0.0,2.0,3.0,1.0,0.0,2.0
0,5,greedy_delta,12.0,32.0,7.0400742292404175,5.167631149291992,1.8724430799484253,7.0400742292404175,0.0,3.0,6.0,0.0,1.0,2.0
0,5,lookahead_delta,12.0,32.0,7.030624032020569,5.067174911499023,1.9634491205215454,7.030624032020569,0.0,3.0,6.0,0.0,1.0,2.0
0,5,wms_planner,12.0,32.0,7.0400742292404175,5.167631149291992,1.8724430799484253,7.0400742292404175,0.0,3.0,6.0,0.0,1.0,2.0
0,6,greedy_delta,13.0,32.0,7.504729747772217,5.315192222595215,2.189537525177002,7.504729747772217,0.0,3.0,6.0,1.0,0.0,3.0
0,6,lookahead_delta,13.0,32.0,7.504729747772217,5.315192222595215,2.189537525177002,7.504729747772217,0.0,3.0,6.0,1.0,0.0,3.0
0,6,wms_planner,13.0,32.0,7.504729747772217,5.315192222595215,2.189537525177002,7.504729747772217,0.0,3.0,6.0,1.0,0.0,3.0
0,7,greedy_delta,7.0,17.0,2.6970731616020203,1.9172488451004028,0.7798243165016174,2.6970731616020203,0.0,3.0,3.0,1.0,0.0,0.0
0,7,lookahead_delta,7.0,17.0,2.6970731616020203,1.9172488451004028,0.7798243165016174,2.6970731616020203,0.0,3.0,3.0,1.0,0.0,0.0
0,7,wms_planner,7.0,17.0,2.7122647166252136,1.9324404001235962,0.7798243165016174,2.7122647166252136,0.0,3.0,3.0,1.0,0.0,0.0
0,8,greedy_delta,11.0,23.0,3.992655038833618,2.7953884601593018,1.1972665786743164,3.992655038833618,0.0,5.0,1.0,3.0,0.0,2.0
0,8,lookahead_delta,11.0,23.0,3.992655038833618,2.7953884601593018,1.1972665786743164,3.992655038833618,0.0,5.0,1.0,3.0,0.0,2.0
0,8,wms_planner,11.0,23.0,3.923253893852234,2.7682266235351562,1.1550272703170776,3.923253893852234,0.0,5.0,1.0,3.0,0.0,2.0
0,9,greedy_delta,12.0,35.0,9.220731258392334,6.516199111938477,2.7045321464538574,9.220731258392334,0.0,2.0,7.0,1.0,2.0,0.0
0,9,lookahead_delta,12.0,35.0,9.147453308105469,6.529321670532227,2.618131637573242,9.147453308105469,0.0,2.0,7.0,1.0,2.0,0.0
0,9,wms_planner,12.0,35.0,9.249090194702148,6.5213212966918945,2.727768898010254,9.249090194702148,0.0,2.0,7.0,1.0,2.0,0.0
0,10,greedy_delta,9.0,26.0,4.609396934509277,3.2662782669067383,1.343118667602539,4.609396934509277,0.0,1.0,4.0,1.0,2.0,1.0
0,10,lookahead_delta,9.0,26.0,4.4300349950790405,3.180050849914551,1.2499841451644897,4.4300349950790405,0.0,1.0,4.0,1.0,2.0,1.0
0,10,wms_planner,9.0,26.0,4.609396934509277,3.2662782669067383,1.343118667602539,4.609396934509277,0.0,1.0,4.0,1.0,2.0,1.0
0,11,greedy_delta,12.0,32.0,6.971343278884888,4.808864116668701,2.1624791622161865,6.971343278884888,0.0,2.0,4.0,2.0,2.0,2.0
0,11,lookahead_delta,12.0,32.0,6.971343278884888,4.808864116668701,2.1624791622161865,6.971343278884888,0.0,2.0,4.0,2.0,2.0,2.0
