episode,avg_total_delay,avg_compute_delay,avg_transmission_delay,avg_requests_per_slot,stages,loss,policy_loss,value_loss,entropy
1,5.409089396893978,4.3793127745389935,1.0297766223549842,9.25,488,0.6623586416244507,0.037796612828969955,1.2629858255386353,0.6930887699127197
2,6.373885157704353,5.175873786211014,1.1980113714933396,10.35,536,0.6180753111839294,0.06197146326303482,1.1260700225830078,0.6931170225143433
3,4.686940503865481,3.774594333767891,0.9123461700975894,8.4,433,0.15098366141319275,-0.19453875720500946,0.704906702041626,0.6930931806564331
4,6.33254594951868,5.1140249371528625,1.2185210123658181,10.6,547,0.49508386850357056,0.027426764369010925,0.9491759538650513,0.6930892467498779
5,6.601643475890159,5.325606095790863,1.2760373800992966,10.45,544,0.588355302810669,0.04436720907688141,1.1018338203430176,0.6928812861442566
6,6.107974256575107,4.836706167459488,1.2712680891156196,10.0,528,0.4965566396713257,0.035642366856336594,0.9356893301010132,0.6930419206619263
7,6.063281297683716,4.8122025549411775,1.2510787427425385,10.1,501,0.25538158416748047,-0.11833569407463074,0.7612943053245544,0.6929867267608643
8,4.848035299032927,3.9160116262733937,0.9320236727595329,8.2,441,0.11443272978067398,-0.10977537930011749,0.46227768063545227,0.6930732131004333
9,6.9210271567106245,5.645676743984223,1.2753504127264024,11.35,572,0.8324998617172241,0.14610838890075684,1.386644959449768,0.6931008696556091
10,4.867750616371632,3.9531650066375734,0.9145856097340583,8.85,466,0.5963136553764343,0.13276098668575287,0.9409674406051636,0.6931080222129822
11,5.240265336632729,4.198195603489876,1.0420697331428528,9.55,489,0.2984672784805298,-0.11500760912895203,0.8408114314079285,0.6930829286575317
12,6.203196612000466,5.015716809034347,1.1874798029661178,10.15,524,0.42549964785575867,-0.01020832359790802,0.8852778077125549,0.6930927634239197
13,5.749835428595543,4.7344075500965115,1.0154278784990312,9.8,513,0.7504978179931641,0.020718587562441826,1.4734196662902832,0.6930602192878723
14,6.363834103941917,5.069780158996582,1.2940539449453354,10.25,532,0.23819409310817719,-0.10498261451721191,0.7002140879631042,0.6930336356163025
15,5.3172055497765545,4.225503706932068,1.0917018428444862,9.35,486,0.6004711985588074,0.09710808843374252,1.0205861330032349,0.6929916739463806
16,6.643799388408661,5.368849155306816,1.2749502331018447,10.2,543,0.47173571586608887,0.04133840277791023,0.8746528029441833,0.6929103136062622
17,5.483956304192543,4.415029883384705,1.0689264208078384,9.95,506,0.1619729995727539,-0.15551719069480896,0.6488383412361145,0.6928979158401489
18,7.2787190169096,5.906500905752182,1.3722181111574172,11.1,584,0.6283358931541443,0.023692086338996887,1.2231457233428955,0.6929067969322205
19,6.771920043230057,5.516599345207214,1.2553206980228424,10.8,551,0.45924267172813416,0.11492831259965897,0.7024877667427063,0.6929528713226318
20,5.872933545708657,4.754556965827942,1.1183765798807144,9.75,515,0.5370118021965027,0.04304463416337967,1.0017902851104736,0.6927982568740845
21,5.376793685555458,4.310104215145111,1.066689470410347,9.9,501,0.7968918085098267,0.15383502840995789,1.299970269203186,0.6928333640098572
22,6.139731504023075,4.954924237728119,1.1848072662949563,10.3,534,0.5010641813278198,0.08943241834640503,0.837120532989502,0.6928504705429077
23,6.59353739619255,5.402393525838852,1.1911438703536987,10.75,548,0.3064289093017578,-0.043646439909935,0.7140031456947327,0.6926231980323792
24,7.028850078582764,5.758682197332382,1.2701678812503814,10.45,558,0.8361150622367859,0.112947478890419,1.4601764678955078,0.6920617818832397
25,6.693940931558609,5.456501907110214,1.2374390244483948,10.8,555,0.1950274258852005,-0.19558493793010712,0.7950670123100281,0.6921144723892212
26,6.569366534799338,5.27618732303381,1.2931792117655276,10.35,546,0.25104662775993347,-0.1243395209312439,0.7646143436431885,0.6921034455299377
27,5.722437089681625,4.577388346195221,1.1450487434864045,9.95,515,0.5490205883979797,0.03323132544755936,1.0454182624816895,0.6919833421707153
28,5.151499859988689,4.151029413938522,1.000470446050167,9.45,484,0.6426581144332886,0.08970163017511368,1.119737982749939,0.6912546157836914
29,5.897033643722534,4.770218795537948,1.1268148481845857,10.05,517,0.30295225977897644,-0.02084973454475403,0.6613949537277222,0.6895481944084167
30,6.427742221951485,5.252017974853516,1.175724247097969,10.05,535,0.09821430593729019,-0.13293905556201935,0.4761102795600891,0.6901776194572449
31,6.201285964250564,5.03035883307457,1.1709271311759948,10.3,523,0.26802876591682434,-0.057606473565101624,0.6650923490524292,0.6910948753356934
32,5.480705754458905,4.366285926103592,1.1144198283553124,10.0,509,0.5974330902099609,0.1427498459815979,0.923204779624939,0.691912829875946
33,5.89724945127964,4.750155729055405,1.1470937222242354,9.9,513,0.2809889316558838,-0.01777612417936325,0.6113272309303284,0.6898564696311951
34,4.2107029721140865,3.33983299434185,0.8708699777722358,8.25,413,0.2633298933506012,-0.09022149443626404,0.720896303653717,0.6896772980690002
35,6.194526194036007,4.940019100904465,1.2545070931315423,9.85,511,0.11717567592859268,-0.1066010594367981,0.4613209068775177,0.6883716583251953
36,6.725013054907322,5.516080623865127,1.2089324310421943,10.85,559,0.4543271064758301,0.10956788063049316,0.7032973766326904,0.6889470815658569
37,5.361215615272522,4.334108501672745,1.0271071135997771,9.8,509,0.2905774414539337,-0.012612275779247284,0.6201426982879639,0.6881633400917053
38,6.22289337515831,5.031936836242676,1.1909565389156342,10.5,531,0.20232513546943665,-0.03571348637342453,0.4898364543914795,0.6879599094390869
39,4.733243253827095,3.843025028705597,0.8902182251214981,9.2,475,0.26472243666648865,-0.06809599697589874,0.6792378425598145,0.6800509095191956
40,5.6988195955753325,4.676422649621964,1.022396945953369,9.6,515,0.13098080456256866,-0.06460760533809662,0.4048508107662201,0.6836996078491211
41,6.891232025623322,5.6512579143047335,1.2399741113185883,10.85,577,0.3066406548023224,0.050534941256046295,0.5258761048316956,0.6832319498062134
42,6.400938487052917,5.071359342336654,1.3295791447162628,10.35,537,0.20102562010288239,-0.04203370213508606,0.4998413324356079,0.6861350536346436
43,5.660183408856392,4.604535436630249,1.055647972226143,9.6,496,0.20611700415611267,-0.009740982204675674,0.4454041123390198,0.6844075918197632
44,5.693352118134499,4.552903074026108,1.1404490441083908,9.55,505,0.2530185282230377,-0.006406649947166443,0.5324758887290955,0.6812784671783447
45,5.3099264115095135,4.304287683963776,1.0056387275457381,9.45,499,0.5700126886367798,0.2555612325668335,0.6424639821052551,0.6780479550361633
46,6.312633384764195,5.067776614427567,1.244856770336628,10.85,548,0.24091635644435883,-0.014529749751091003,0.5243931412696838,0.6750471591949463
47,6.767875203490258,5.577923285961151,1.1899519175291062,10.9,562,0.368386834859848,0.09549491107463837,0.5592514276504517,0.6733811497688293
48,5.646898847818375,4.603580522537231,1.043318325281143,9.9,518,0.08158653229475021,-0.1719808578491211,0.5206536650657654,0.6759442090988159
49,5.265474613010883,4.281473797559738,0.9840008154511451,9.7,499,0.27274417877197266,-0.013502858579158783,0.5859125852584839,0.670924186706543
50,7.8332942724227905,6.430350041389465,1.402944231033325,11.95,624,0.29089051485061646,0.10186459124088287,0.391376793384552,0.6662485003471375
51,7.751868665218353,6.406248617172241,1.345620048046112,12.0,621,-0.046945177018642426,-0.1831558644771576,0.28555935621261597,0.6568989753723145
52,6.023230716586113,4.897242242097855,1.1259884744882585,10.2,541,0.19842860102653503,0.04382167011499405,0.32205355167388916,0.6419839262962341
53,6.2286670088768,4.9613999128341675,1.267267096042633,10.5,538,0.1906900852918625,-0.07456685602664948,0.5435230731964111,0.6504597067832947
54,7.145293298363685,5.897635346651077,1.2476579517126083,11.35,590,0.11671523004770279,-0.1508680284023285,0.5480759739875793,0.6454731225967407
55,5.918735943734646,4.762390834093094,1.156345109641552,10.15,522,0.2141263484954834,-0.08129699528217316,0.6029456853866577,0.6049505472183228
