epoch,action_apply,delay_cost,migration_cost,total_cost,change_count
0.0,0.0,101.48597237467766,0.0,101.48597237467766,0.0
1.0,1.0,98.24615925550461,1.0,99.24615925550461,10.0
2.0,1.0,75.47090002894402,0.6000000000000001,76.07090002894401,6.0
3.0,0.0,98.45356693863869,0.0,98.45356693863869,0.0
4.0,0.0,99.48481550812721,0.0,99.48481550812721,0.0
5.0,1.0,104.81130194664001,1.0,105.81130194664001,10.0
6.0,0.0,105.14083191752434,0.0,105.14083191752434,0.0
7.0,1.0,118.2030456662178,0.8,119.0030456662178,8.0
8.0,1.0,89.89723631739616,1.0,90.89723631739616,10.0
9.0,1.0,94.30869275331497,0.6000000000000001,94.90869275331497,6.0
10.0,1.0,111.0873634815216,0.8,111.8873634815216,8.0
11.0,1.0,116.79584127664566,0.2,116.99584127664566,2.0
12.0,1.0,104.28316622972488,0.6000000000000001,104.88316622972488,6.0
13.0,1.0,118.38495162129402,0.6000000000000001,118.98495162129402,6.0
14.0,0.0,125.24610394239426,0.0,125.24610394239426,0.0
15.0,0.0,103.29982581734657,0.0,103.29982581734657,0.0
16.0,1.0,98.6223732829094,1.2000000000000002,99.8223732829094,12.0
17.0,0.0,93.8328872025013,0.0,93.8328872025013,0.0
18.0,1.0,79.00200302898884,0.8,79.80200302898884,8.0
19.0,0.0,93.04814663529396,0.0,93.04814663529396,0.0
20.0,1.0,77.48872783780098,1.0,78.48872783780098,10.0
21.0,0.0,101.14850607514381,0.0,101.14850607514381,0.0
22.0,1.0,110.15082281827927,0.6000000000000001,110.75082281827926,6.0
23.0,0.0,112.57058112323284,0.0,112.57058112323284,0.0
24.0,1.0,101.07316464185715,0.8,101.87316464185714,8.0
25.0,1.0,105.43428874015808,0.4,105.83428874015809,4.0
26.0,1.0,92.55875363945961,0.8,93.35875363945961,8.0
27.0,1.0,103.3026313483715,0.2,103.50263134837151,2.0
28.0,1.0,83.50325194001198,0.4,83.90325194001198,4.0
29.0,0.0,93.82293978333473,0.0,93.82293978333473,0.0
30.0,1.0,112.92441421747208,0.8,113.72441421747207,8.0
31.0,1.0,84.82570016384125,0.6000000000000001,85.42570016384124,6.0
32.0,1.0,101.59495089948177,0.6000000000000001,102.19495089948177,6.0
33.0,0.0,92.37755371630192,0.0,92.37755371630192,0.0
34.0,0.0,99.32460516691208,0.0,99.32460516691208,0.0
35.0,1.0,105.5379509627819,0.6000000000000001,106.1379509627819,6.0
36.0,0.0,96.91016378998756,0.0,96.91016378998756,0.0
37.0,1.0,116.61315417289734,0.8,117.41315417289734,8.0
38.0,0.0,94.58555170893669,0.0,94.58555170893669,0.0
39.0,1.0,102.12540781497955,0.8,102.92540781497955,8.0
40.0,1.0,94.47131256759167,1.0,95.47131256759167,10.0
41.0,1.0,86.78966447710991,0.8,87.5896644771099,8.0
42.0,1.0,102.01807278394699,0.6000000000000001,102.61807278394699,6.0
43.0,1.0,77.98614624142647,0.4,78.38614624142647,4.0
44.0,1.0,83.75241500139236,0.4,84.15241500139237,4.0
45.0,1.0,120.50125619769096,1.0,121.50125619769096,10.0
46.0,1.0,90.36473682522774,0.2,90.56473682522774,2.0
47.0,1.0,107.49032375216484,1.0,108.49032375216484,10.0
48.0,0.0,110.81271785497665,0.0,110.81271785497665,0.0
49.0,1.0,93.28087128698826,1.0,94.28087128698826,10.0
50.0,1.0,87.50590732693672,0.8,88.30590732693672,8.0
51.0,0.0,110.08734577894211,0.0,110.08734577894211,0.0
52.0,1.0,111.25824943184853,0.6000000000000001,111.85824943184852,6.0
53.0,0.0,114.07873678207397,0.0,114.07873678207397,0.0
54.0,1.0,123.97680407762527,0.6000000000000001,124.57680407762527,6.0
55.0,1.0,121.57168191671371,0.8,122.37168191671371,8.0
56.0,1.0,115.49802702665329,0.6000000000000001,116.09802702665328,6.0
57.0,1.0,106.7732010781765,1.0,107.7732010781765,10.0
58.0,1.0,99.17379659414291,0.2,99.37379659414292,2.0
59.0,1.0,78.03030776977539,0.6000000000000001,78.63030776977538,6.0
60.0,1.0,104.19770699739456,0.4,104.59770699739457,4.0
61.0,1.0,121.87522445619106,0.6000000000000001,122.47522445619106,6.0
62.0,1.0,107.28191547095776,0.4,107.68191547095776,4.0
63.0,0.0,129.88020890951157,0.0,129.88020890951157,0.0
