episode,avg_total_delay,avg_compute_delay,avg_transmission_delay,avg_requests_per_slot,stages,loss,policy_loss,value_loss,entropy
1,5.931213001161813,4.962141960859299,0.969071040302515,8.95,456,0.3197441101074219,-0.008701515384018421,0.6707463264465332,0.6927538514137268
2,7.625113406777382,6.410227066278457,1.2148863404989243,10.45,542,0.5236586332321167,0.013425283133983612,1.03432297706604,0.6928129196166992
3,5.119614058732987,4.261005651950836,0.8586084067821502,8.1,418,0.23170198500156403,-0.07216767221689224,0.6215993762016296,0.6930035352706909
4,7.681493835151196,6.560178250074387,1.1213155850768088,10.85,563,0.4390176832675934,0.02570888213813305,0.8404751420021057,0.6928784847259521
5,7.948878763616085,6.746942484378815,1.2019362792372703,10.45,546,0.39474090933799744,-0.06631443649530411,0.9359654188156128,0.6927358508110046
6,7.2009987607598305,6.037233352661133,1.1637654080986977,10.0,521,0.43770769238471985,-0.010974075645208359,0.9112151861190796,0.6925829648971558
7,7.009094365686178,5.817772996425629,1.1913213692605495,9.95,492,0.20713813602924347,-0.10631278902292252,0.6407493352890015,0.6923750638961792
8,5.467593084461987,4.638155231624841,0.8294378528371453,8.3,446,0.7935407757759094,0.1424717903137207,1.3159856796264648,0.6923866271972656
9,7.773134011030197,6.48973718881607,1.2833968222141265,11.2,565,0.5055034160614014,0.0625801682472229,0.8996955156326294,0.6924482583999634
10,5.854318283498287,4.923776561021805,0.9305417224764824,8.9,471,0.485765665769577,0.022999506443738937,0.93938148021698,0.6924562454223633
11,6.329623100161553,5.247022366523742,1.0826007336378098,9.5,484,0.4646400213241577,0.05810832604765892,0.8269117474555969,0.6924175024032593
12,7.422165024280548,6.271251106262207,1.150913918018341,10.4,537,0.5033687353134155,0.018006235361099243,0.9845696687698364,0.6922382116317749
13,6.949764314293861,5.916821098327636,1.0329432159662246,9.75,515,0.3486749529838562,-0.06090626120567322,0.8330033421516418,0.6920464634895325
14,7.31771228313446,6.16432095170021,1.1533913314342499,10.1,525,0.38873574137687683,-0.07722967863082886,0.9457759857177734,0.6922560930252075
15,6.192648573219776,5.148459503054619,1.0441890701651573,9.5,489,0.2698220908641815,-0.0796438455581665,0.7127768993377686,0.6922504901885986
16,7.4824912548065186,6.180465584993362,1.302025669813156,10.15,544,0.199680894613266,-0.11674755811691284,0.6467028856277466,0.6922982931137085
17,6.693500804901123,5.593160563707352,1.1003402411937713,10.0,501,0.20314572751522064,-0.06639912724494934,0.5529335737228394,0.6921926140785217
