episode,avg_total_delay,avg_compute_delay,avg_transmission_delay,avg_requests_per_slot,stages,loss,policy_loss,value_loss,entropy
1,9.804629445075989,9.415320527553558,0.3893089175224304,9.25,488,0.5969496369361877,-0.04583645984530449,1.2855721712112427,0.0
2,11.940034831315279,11.477107381820678,0.4629274494946003,10.35,536,0.672946035861969,0.1090875118970871,1.1277170181274414,0.0
3,8.250133860856295,7.896874558925629,0.35325930193066596,8.4,433,0.35785454511642456,-0.09369520843029022,0.9030994772911072,0.0
4,11.26038151755929,10.813441371917724,0.4469401456415653,10.6,547,0.5656849145889282,0.13705265522003174,0.857264518737793,0.0
5,13.143876399099828,12.616664230823517,0.52721216827631,10.45,544,0.6343802213668823,0.07315051555633545,1.1224594116210938,0.0
6,11.076429019123315,10.616290295124054,0.46013872399926187,10.0,528,0.5240089893341064,0.05434795469045639,0.9393221139907837,0.0
7,9.739798479527234,9.238544005155564,0.5012544743716717,10.1,501,0.514694333076477,-0.102492555975914,1.2343738079071045,0.0
8,9.599879566580057,9.252133712172508,0.3477458544075489,8.2,441,0.05144236981868744,-0.15440814197063446,0.4117010235786438,0.0
9,11.63706253543496,11.129702925682068,0.5073596097528934,11.35,572,0.897163450717926,0.21008847653865814,1.3741499185562134,0.0
10,8.886078453063964,8.501519328355789,0.38455912470817566,8.85,466,0.5578165650367737,0.08179274946451187,0.95204758644104,0.0
11,9.004691987484694,8.555732309818268,0.4489596776664257,9.55,489,0.4545857608318329,-0.09702596813440323,1.103223443031311,0.0
12,11.361961747705937,10.901897943019867,0.4600638046860695,10.15,524,0.592954158782959,0.10919737815856934,0.9675136208534241,0.0
13,10.779473637789488,10.353461110591889,0.4260125271975994,9.8,513,0.6240295767784119,0.021136436611413956,1.2057862281799316,0.0
14,11.767567997425795,11.28197660446167,0.4855913929641247,10.25,532,0.26476842164993286,-0.050733521580696106,0.6310038566589355,0.0
15,10.453981912881137,10.01892756819725,0.4350543446838856,9.35,486,0.5165239572525024,0.00738535076379776,1.0182771682739258,0.0
16,12.864409847557544,12.378160536289215,0.4862493112683296,10.2,543,0.1826094686985016,0.028657592833042145,0.3079037368297577,0.0
17,10.182785756140948,9.709243297576904,0.47354245856404303,9.95,506,0.48344686627388,0.013139777816832066,0.9406141638755798,0.0
18,13.86461108699441,13.34625141620636,0.5183596707880497,11.1,584,0.24542108178138733,-0.1350955069065094,0.7610331773757935,0.0
19,12.31392517760396,11.817272210121155,0.49665296748280524,10.8,551,0.32888805866241455,-0.04788115620613098,0.7535384297370911,0.0
20,12.01226808950305,11.608989071846008,0.40327901765704155,9.75,515,0.5518115758895874,0.0860162302851677,0.931590735912323,0.0
21,9.39985972866416,8.963200896978378,0.43665883168578146,9.9,501,0.5259295701980591,0.14519044756889343,0.7614782452583313,0.0
22,11.706561676412822,11.284773695468903,0.42178798094391823,10.3,534,0.58505779504776,0.10643615573644638,0.9572432637214661,0.0
23,11.38713995590806,10.921147632598878,0.4659923233091831,10.75,548,0.6170111298561096,0.032993730157613754,1.1680347919464111,0.0
24,12.760382959246636,12.254422986507416,0.5059599727392197,10.45,558,0.7251675724983215,0.11068295687437057,1.2289692163467407,0.0
25,12.796681265532971,12.317739951610566,0.47894131392240524,10.8,555,0.11452296376228333,-0.2189197838306427,0.666885495185852,0.0
